,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
345,Makurdi,NG,7.7411,8.5121,80.33,20,13,3.91,few clouds
346,Aksarka,RU,66.5606,67.7975,-3.96,89,79,11.32,broken clouds
347,Severo-Kurilsk,RU,50.6789,156.125,30.31,83,70,6.29,broken clouds
348,Bambanglipuro,ID,-7.95,110.2833,78.76,83,99,5.55,moderate rain
349,Krasnoselkup,RU,65.7,82.4667,-6.9,98,100,9.08,overcast clouds
350,Itarema,BR,-2.9248,-39.9167,79.52,77,99,9.51,overcast clouds
351,Chapais,CA,49.7834,-74.8492,2.98,84,99,15.55,overcast clouds
352,Vostok,RU,46.4856,135.8833,-9.54,95,34,2.15,scattered clouds
353,Kota Kinabalu,MY,5.9749,116.0724,78.78,89,20,3.44,few clouds
354,Thinadhoo,MV,0.5333,72.9333,81.91,73,99,8.88,overcast clouds
355,Kindu,CD,-2.95,25.95,71.02,98,100,1.61,light rain
356,Snina,SK,48.9886,22.151,22.08,93,96,2.66,overcast clouds
357,Griffith,US,41.5284,-87.4237,19.06,66,0,5.01,clear sky
358,Leamington,CA,42.0549,-82.6062,26.82,56,74,13.0,broken clouds
359,Gazojak,TM,41.1875,61.4036,35.62,73,6,8.68,clear sky
360,Burgeo,CA,47.6167,-57.6152,32.85,99,100,27.98,snow
361,Luderitz,NA,-26.6481,15.1594,62.02,95,4,4.25,clear sky
362,High Level,CA,58.5169,-117.136,-9.45,91,100,5.99,overcast clouds
363,Igrim,RU,63.1906,64.4162,1.45,90,45,9.57,scattered clouds
364,Baykit,RU,61.67,96.37,14.7,97,100,1.28,light snow
365,Nanakuli,US,21.3906,-158.1547,81.03,60,0,8.05,clear sky
366,Nioaque,BR,-21.1353,-55.83,71.55,85,68,2.44,broken clouds
367,Carutapera,BR,-1.195,-46.02,75.29,92,94,1.12,heavy intensity rain
368,Coreau,BR,-3.5333,-40.6567,77.32,72,100,3.13,overcast clouds
369,Ayr,GB,55.4627,-4.6339,40.21,100,75,5.75,broken clouds
370,Medea,DZ,36.2642,2.7539,39.58,62,0,5.44,clear sky
371,Jumla,NP,29.2747,82.1838,35.83,92,100,3.98,overcast clouds
372,Golden,US,39.7555,-105.2211,36.72,61,0,0.0,clear sky
373,Jiayuguan,CN,39.8167,98.3,18.32,58,0,5.57,clear sky
374,Hasaki,JP,35.7333,140.8333,43.29,71,100,20.8,light rain
375,Aboyne,GB,57.0755,-2.7802,33.22,85,21,3.83,few clouds
376,Collie,AU,-33.3667,116.15,62.98,53,74,10.33,broken clouds
377,Corrales,US,35.2378,-106.6067,49.01,44,0,4.0,clear sky
378,Hovd,MN,48.0056,91.6419,1.71,75,62,2.86,broken clouds
379,Samarai,PG,-10.6167,150.6667,82.15,76,86,3.98,overcast clouds
380,Salihorsk,BY,52.7876,27.5415,25.43,97,98,7.56,light snow
381,Eidfjord,NO,60.4675,7.0719,28.56,88,96,6.73,overcast clouds
382,Accra,GH,5.556,-0.1969,82.27,77,51,6.85,broken clouds
383,Warrington,GB,53.3925,-2.5802,44.85,90,20,1.01,few clouds
384,Yerbogachen,RU,61.2767,108.0108,-8.97,80,99,9.28,overcast clouds
385,Yatou,CN,37.15,122.3833,32.94,66,94,2.73,overcast clouds
386,Andenes,NO,69.3143,16.1194,17.58,86,20,9.22,few clouds
387,Sarkikaraagac,TR,38.0794,31.3664,37.9,88,100,8.88,overcast clouds
388,Petatlan,MX,17.5167,-101.2667,85.8,65,69,3.33,broken clouds
389,Fort Nelson,CA,58.8053,-122.7002,-20.61,76,90,2.3,heavy snow
390,Mgachi,RU,51.05,142.2667,7.21,94,100,10.89,light snow
391,Bilma,NE,18.6853,12.9164,51.75,25,2,12.08,clear sky
392,Villazon,BO,-22.0866,-65.5942,53.49,70,60,13.58,broken clouds
393,Whitehorse,CA,60.7161,-135.0538,-6.18,96,100,5.93,overcast clouds
394,Pasighat,IN,28.0667,95.3333,61.3,68,100,2.59,overcast clouds
395,Lorengau,PG,-2.0226,147.2712,82.71,76,73,8.86,broken clouds
396,Dentsville,US,34.064,-80.9582,68.38,75,75,6.91,broken clouds
397,Havre-Saint-Pierre,CA,50.2334,-63.5986,25.16,86,90,9.22,light snow
398,Yarada,IN,17.65,83.2667,68.32,100,20,2.3,mist
399,Deputatskiy,RU,69.3,139.9,-27.35,93,11,5.46,few clouds
400,Amahai,ID,-3.3333,128.9167,83.19,70,92,3.06,overcast clouds
401,Harper,LR,4.375,-7.7169,79.59,84,81,6.8,broken clouds
402,Naron,ES,43.5167,-8.1528,58.05,95,100,11.59,overcast clouds
403,Yakeshi,CN,49.2833,120.7333,-18.26,100,99,2.73,overcast clouds
404,Portland,US,45.5234,-122.6762,51.84,61,0,1.99,clear sky
405,Cairns,AU,-16.9167,145.7667,85.95,91,75,4.61,light intensity shower rain
406,Trojes,AL,41.756,19.962,36.09,95,100,5.84,overcast clouds
407,Evans,US,33.5337,-82.1307,70.0,75,90,1.01,overcast clouds
408,Fayaoue,NC,-20.65,166.5333,81.0,77,38,25.21,scattered clouds
409,Oranjemund,NA,-28.55,16.4333,64.65,94,10,4.63,clear sky
410,Codrington,AU,-38.2667,141.9667,74.52,47,53,11.14,broken clouds
411,Punta Cardon,VE,11.6581,-70.215,77.34,78,17,20.49,few clouds
412,Calvinia,ZA,-31.4707,19.776,68.97,71,93,4.9,overcast clouds
413,Diu,IN,20.7141,70.9822,58.35,52,0,10.67,clear sky
414,Kutum,SD,14.2,24.6667,67.5,26,43,12.64,scattered clouds
415,Coihueco,CL,-36.6167,-71.8333,70.66,54,1,7.29,clear sky
416,Chicama,PE,-7.8447,-79.1469,68.54,69,31,6.91,scattered clouds
417,Shubarshi,KZ,48.5872,57.1869,2.98,85,8,10.09,clear sky
418,Nishihara,JP,26.1842,127.7558,65.48,73,75,6.91,broken clouds
419,Antalaha,MG,-14.9003,50.2788,74.61,92,100,3.85,overcast clouds
420,Waipawa,NZ,-41.4122,175.5153,68.63,58,100,3.8,overcast clouds
421,Canmore,CA,51.0834,-115.3521,16.97,93,69,9.66,broken clouds
422,Lerwick,GB,60.1545,-1.1494,42.8,76,99,23.49,overcast clouds
423,Porto Novo,BJ,6.4965,2.6036,79.63,75,46,3.76,scattered clouds
424,Aykhal,RU,66.0,111.5,0.41,94,100,21.34,overcast clouds
425,Teya,RU,60.3778,92.6267,22.33,95,100,5.64,light snow
426,Yenagoa,NG,4.9247,6.2642,77.95,84,4,4.16,clear sky
427,Kieta,PG,-6.2167,155.6333,86.52,67,26,11.01,scattered clouds
428,Niksic,ME,42.7731,18.9445,39.07,85,96,5.66,overcast clouds
429,Grindavik,IS,63.8424,-22.4338,41.47,93,90,49.48,heavy intensity rain
430,Rach Gia,VN,10.0167,105.0833,75.15,87,20,3.4,few clouds
431,Bahia Blanca,AR,-38.7196,-62.2724,90.19,24,60,6.53,broken clouds
432,Bandarbeyla,SO,9.4942,50.8122,75.49,68,35,19.86,scattered clouds
433,Umm Lajj,SA,25.0213,37.2685,73.67,60,92,27.27,overcast clouds
434,Tukrah,LY,32.5341,20.5791,58.77,65,74,28.95,broken clouds
435,Juye,CN,35.3947,116.0883,38.43,75,100,2.13,overcast clouds
436,Barkhan,PK,29.8977,69.5256,41.83,77,0,2.55,clear sky
437,Lucea,JM,18.451,-78.1736,80.46,76,98,10.85,overcast clouds
438,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,34,0,11.01,clear sky
439,Marabba,SD,12.35,32.1833,82.45,28,98,7.18,overcast clouds
440,Ebenthal,AT,46.6081,14.3642,30.6,75,75,4.61,broken clouds
441,Kuytun,RU,54.3419,101.5036,-3.62,99,91,1.28,overcast clouds
442,Songkhla,TH,6.8333,100.6667,73.45,92,55,4.29,broken clouds
443,Turukhansk,RU,65.8167,87.9833,-2.34,98,100,7.94,overcast clouds
444,Bereda,ES,43.2686,-7.5406,56.41,100,100,5.12,overcast clouds
445,Zarinsk,RU,53.7074,84.9493,10.02,93,99,12.82,overcast clouds
446,Corinto,GR,37.9407,22.9573,53.46,89,28,4.54,scattered clouds
447,Monte Alegre,BR,-2.0078,-54.0692,73.81,88,100,2.19,overcast clouds
448,Glenwood Springs,US,39.5505,-107.3248,33.03,53,0,0.0,clear sky
449,Taitung,TW,22.7583,121.1444,64.67,77,20,5.75,few clouds
450,Tezu,IN,27.9167,96.1667,64.0,47,100,2.64,overcast clouds
451,Olafsvik,IS,64.8945,-23.7142,39.0,95,100,34.0,light rain
452,La Primavera,CO,5.4906,-70.4092,81.43,44,88,5.26,overcast clouds
453,Zaranj,AF,30.9667,61.8833,33.76,47,0,5.75,clear sky
454,Pochutla,MX,15.7432,-96.4661,80.82,67,32,2.46,scattered clouds
455,Loa Janan,ID,-0.583,117.095,76.17,96,79,2.1,broken clouds
456,Tazovskiy,RU,67.4667,78.7,-5.62,97,100,12.71,overcast clouds
457,Luanda,AO,-8.8368,13.2343,76.24,85,100,6.13,overcast clouds
458,Palafrugell,ES,41.9174,3.1631,49.42,52,87,4.0,overcast clouds
459,Muli,MV,2.9167,73.5667,82.26,71,96,11.03,overcast clouds
460,Hamilton,US,39.1834,-84.5333,33.24,62,0,3.0,clear sky
461,Praia,CV,14.9215,-23.5087,72.14,78,40,9.22,scattered clouds
462,Muzhi,RU,65.3667,64.6667,-14.62,98,31,4.21,scattered clouds
463,Healesville,AU,-37.65,145.5167,84.61,33,9,2.8,clear sky
464,Mount Isa,AU,-20.7333,139.5,94.77,24,24,9.22,few clouds
465,Iskateley,RU,67.6803,53.1512,1.26,94,98,10.47,overcast clouds
466,Kisangani,CD,0.5167,25.2,73.18,89,100,0.83,overcast clouds
467,Svetlyy,RU,54.675,20.1347,23.97,81,54,7.65,broken clouds
468,Tiznit,MA,29.5833,-9.5,55.38,32,61,4.92,broken clouds
469,Wajir,KE,1.7471,40.0573,80.17,63,35,14.99,scattered clouds
470,La Orilla,MX,17.9833,-102.2333,79.99,61,76,6.87,broken clouds
471,Hami,CN,42.8,93.45,23.0,49,0,2.77,clear sky
472,West Caldwell,US,40.8409,-74.3018,40.19,92,100,3.44,moderate rain
473,Esso,RU,55.9333,158.7,17.2,97,100,4.18,overcast clouds
474,Taoudenni,ML,22.6783,-3.9836,54.93,19,44,11.79,scattered clouds
475,Yangambi,CD,0.8102,24.4336,72.14,85,100,1.63,overcast clouds
476,Pavino,RU,59.1139,46.1414,18.81,95,100,8.75,light snow
477,Kachug,RU,53.9606,105.8817,-24.21,100,63,0.65,broken clouds
478,Ust-Maya,RU,60.4167,134.5333,-41.71,100,97,0.58,overcast clouds
479,Alugan,PH,12.2188,125.4808,79.92,79,67,2.91,broken clouds
480,Zyryanka,RU,65.75,150.85,-8.1,98,100,5.32,light snow
481,Zemio,CF,5.0314,25.1361,76.1,42,74,2.57,broken clouds
482,Takaka,NZ,-40.85,172.8,75.81,57,91,3.65,overcast clouds
483,Gorom-Gorom,BF,14.4439,-0.2361,67.14,13,4,9.53,clear sky
484,Kaeo,NZ,-35.1,173.7833,80.33,71,99,6.78,overcast clouds
485,Matara,LK,5.9485,80.5353,74.44,91,100,8.52,overcast clouds
486,Alyangula,AU,-13.8483,136.4192,86.14,63,59,10.67,broken clouds
487,Znamenskoye,RU,57.1281,73.8282,-4.05,97,31,5.41,scattered clouds
488,Port-Cartier,CA,50.0334,-66.8654,25.02,94,100,9.78,light snow
489,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.23,79,6,7.38,clear sky
490,Westport,US,41.1415,-73.3579,40.82,94,100,1.01,light rain
491,Mandera,KE,3.9366,41.867,81.12,43,5,9.93,clear sky
492,Tevriz,RU,57.509,72.4042,1.74,93,44,6.67,scattered clouds
493,Bilibino,RU,68.0546,166.4372,-15.66,97,74,2.91,broken clouds
494,Lavrentiya,RU,65.5833,-171.0,-10.08,83,12,13.82,few clouds
495,Katobu,ID,-4.9408,122.5276,80.15,83,100,1.77,overcast clouds
496,Lufilufi,WS,-13.8745,-171.5986,89.38,74,84,9.82,broken clouds
497,Leningradskiy,RU,69.3833,178.4167,-17.81,93,37,4.32,scattered clouds
498,Barletta,IT,41.3118,16.2908,46.18,89,100,1.74,overcast clouds
499,Broome,US,42.2506,-75.833,37.38,80,100,3.0,mist
500,Inuvik,CA,68.3499,-133.7218,-24.74,68,20,3.44,few clouds
501,Forio,IT,40.7342,13.8646,46.42,85,61,10.0,broken clouds
502,Vicuna,CL,-30.0319,-70.7081,75.78,57,96,3.85,overcast clouds
503,Anadyr,RU,64.75,177.4833,-16.1,76,18,20.13,few clouds
504,Millinocket,US,45.6573,-68.7098,33.91,86,100,4.61,overcast clouds
505,Vestmannaeyjar,IS,63.4427,-20.2734,40.64,96,100,44.63,moderate rain
506,Oksfjord,NO,70.2396,22.3479,29.32,82,54,6.49,light snow
507,Ati,TD,13.2154,18.3353,69.03,21,5,10.27,clear sky
508,Sisimiut,GL,66.9395,-53.6735,13.3,87,100,12.35,light snow
509,Estepona,ES,36.4276,-5.1459,57.11,70,1,8.23,clear sky
510,Ulladulla,AU,-35.35,150.4667,82.76,70,70,6.42,broken clouds
511,Zyryanskoye,RU,56.8306,86.6258,14.09,89,100,12.5,overcast clouds
512,Lokosovo,RU,61.1333,74.8167,0.05,94,87,10.78,overcast clouds
513,Bonga,ET,7.2833,36.2333,59.31,93,33,2.62,light rain
514,Ulvik,NO,60.5672,6.9187,25.5,87,88,6.78,overcast clouds
515,Beloha,MG,-25.1667,45.05,74.16,78,100,9.95,overcast clouds
516,Okmulgee,US,35.6234,-95.9605,38.59,44,0,13.8,clear sky
517,Massakory,TD,12.996,15.7293,70.09,14,81,12.28,broken clouds
518,Kayes,ML,14.0,-11.0,76.08,11,94,9.66,overcast clouds
519,Olinda,BR,-8.0089,-34.8553,82.13,74,40,10.36,scattered clouds
520,Kalawit,PH,8.0667,122.5167,79.97,83,57,7.07,broken clouds
521,Vryheid,ZA,-27.7695,30.7917,61.74,88,74,4.94,broken clouds
522,Palwal,IN,28.15,77.3333,52.16,84,0,5.95,clear sky
523,Klyuchi,RU,52.2667,79.1667,6.04,97,90,7.27,overcast clouds
524,Srednekolymsk,RU,67.45,153.6833,-15.36,98,100,5.37,overcast clouds
525,Lloro,CO,5.4961,-76.5495,73.62,96,78,2.1,broken clouds
526,Xuddur,SO,4.1213,43.8894,70.11,76,11,13.71,few clouds
527,Zhanakorgan,KZ,43.9098,67.2495,31.28,78,52,7.45,broken clouds
528,Sayyan,YE,15.1718,44.3244,51.13,35,6,2.62,clear sky
529,Port Hardy,CA,50.6996,-127.4199,48.2,76,75,24.16,broken clouds
530,Nauta,PE,-4.5061,-73.5757,78.01,75,94,2.46,overcast clouds
531,Viedma,AR,-40.8135,-62.9967,71.29,59,23,13.71,few clouds
532,Jaguaruna,BR,-28.615,-49.0256,68.58,85,100,6.69,overcast clouds
533,Nizhnyaya Salda,RU,58.0776,60.7202,10.22,84,100,10.47,overcast clouds
534,Cururupu,BR,-1.8283,-44.8683,74.01,96,100,1.19,light rain
535,Muroto,JP,33.2833,134.15,48.24,62,1,6.78,clear sky
536,Le Port,RE,-20.9373,55.2919,77.0,84,84,3.8,light rain
537,Wynyard,AU,-41.0,145.7167,66.52,79,92,2.84,overcast clouds
538,Kondoa,TZ,-4.9,35.7833,61.79,79,99,3.71,overcast clouds
539,Martapura,ID,-3.4167,114.85,75.29,100,20,4.61,few clouds
540,Muros,ES,42.7762,-9.0603,57.99,96,99,7.27,overcast clouds
541,Straumen,NO,63.8709,11.2999,11.86,90,34,4.81,scattered clouds
542,Lakes Entrance,AU,-37.8811,147.981,86.58,70,12,5.26,few clouds
543,Horsham,GB,51.064,-0.3272,42.49,77,89,0.0,overcast clouds
544,Shakiso,ET,5.75,38.9167,60.12,69,47,2.13,scattered clouds
545,Dong Hoi,VN,17.4833,106.6,70.52,90,83,2.13,broken clouds
546,Karratha,AU,-20.7377,116.8463,87.13,52,0,8.1,clear sky
547,Visby,SE,57.6409,18.296,32.22,100,90,9.22,overcast clouds
548,Pemangkat,ID,1.1667,108.9667,77.86,90,100,7.29,overcast clouds
549,Pangai,TO,-19.8,-174.35,82.51,74,100,17.27,overcast clouds
550,Tupik,RU,54.4253,119.9327,-23.78,97,24,2.28,few clouds
551,Ghanzi,BW,-21.5667,21.7833,67.12,86,99,8.84,overcast clouds
552,Mhlambanyatsi,SZ,-26.45,31.0167,57.92,96,74,0.94,broken clouds
553,Noumea,NC,-22.2763,166.4572,85.98,99,51,17.52,broken clouds
554,Amapa,BR,1.0,-52.0,73.09,90,100,0.72,overcast clouds
555,Bangolo,CI,7.0069,-7.475,79.41,39,80,0.81,broken clouds
556,Fairbanks,US,64.8378,-147.7164,-11.2,77,75,4.61,broken clouds
557,Xinzhi,CN,36.4989,111.7047,35.37,52,85,7.56,overcast clouds
558,Purpe,RU,64.4803,76.6897,-15.88,96,67,9.31,broken clouds
559,Houston,US,29.7633,-95.3633,69.96,71,100,24.16,overcast clouds
560,Lafiagi,NG,8.8667,5.4167,78.37,24,29,5.14,scattered clouds
561,Timoteo,BR,-19.5825,-42.6444,72.46,99,100,1.81,light rain
562,Herat,AF,34.5,62.0,34.95,49,0,1.81,clear sky
563,Tessalit,ML,20.1986,1.0114,58.1,18,53,10.51,broken clouds
564,Ternate,ID,0.8,127.4,81.95,78,93,4.27,overcast clouds
565,Ossora,RU,59.2353,163.0719,12.97,95,98,6.6,overcast clouds
566,Mecca,SA,21.4267,39.8261,73.89,74,0,1.63,clear sky
567,Provideniya,RU,64.3833,-173.3,6.91,66,0,17.9,clear sky
568,Apac,UG,1.9756,32.5386,69.39,43,93,2.06,overcast clouds
569,Beni Suef,EG,29.0731,31.0979,50.59,46,0,9.06,clear sky
570,Simao,CN,22.7886,100.9748,47.48,76,0,1.21,clear sky
571,Kununurra,AU,-15.7667,128.7333,85.98,74,82,5.75,broken clouds
572,Boyolangu,ID,-8.1181,111.8935,77.68,85,99,1.72,overcast clouds
573,Wasilla,US,61.5814,-149.4394,12.13,46,100,25.32,overcast clouds
574,Namibe,AO,-15.1961,12.1522,65.7,78,58,5.86,broken clouds
575,Emba,KZ,48.8264,58.1442,0.46,85,4,8.46,clear sky
576,Sheltozero,RU,61.3667,35.3667,4.41,99,88,5.59,overcast clouds
577,Boende,CD,-0.2167,20.8667,76.03,72,87,1.48,overcast clouds
578,Barda,AZ,40.3744,47.1267,39.69,85,8,3.71,clear sky
579,Alice Springs,AU,-23.7,133.8833,96.35,11,0,12.66,clear sky
580,Betare Oya,CM,5.6,14.0833,71.1,30,49,3.96,scattered clouds
581,Waddan,LY,29.1614,16.139,47.88,45,5,9.42,clear sky
582,Tabou,CI,4.423,-7.3528,79.75,83,73,6.73,broken clouds
583,Ola,RU,59.5833,151.2833,14.14,81,100,10.2,overcast clouds
584,Taman,RU,45.2117,36.7161,50.34,87,100,12.75,overcast clouds
585,Kawalu,ID,-7.3817,108.2082,74.8,88,68,0.92,broken clouds
586,Serra Negra,BR,-22.6122,-46.7006,61.11,96,100,5.75,overcast clouds
587,Uri,IN,34.0833,74.0333,40.19,87,79,4.72,broken clouds
588,Cherskiy,RU,68.75,161.3,-15.05,98,100,1.95,overcast clouds
589,Guntakal,IN,15.1667,77.3833,69.51,77,51,6.82,broken clouds
590,Valdivia,CL,-39.8142,-73.2459,61.11,88,49,2.95,scattered clouds
591,Kibala,TD,9.1104,18.3463,75.15,29,0,11.5,clear sky
592,Abha,SA,18.2164,42.5053,53.42,71,0,0.0,clear sky
593,Vanavara,RU,60.34,102.2797,8.01,85,100,8.41,overcast clouds
594,Saravan,AM,39.7196,45.6483,16.45,63,14,6.96,few clouds
595,Feni,BD,23.0186,91.41,60.04,71,0,3.74,clear sky
596,Shishou,CN,29.7226,112.419,45.63,78,98,5.32,overcast clouds
597,Amalapuram,IN,16.5833,82.0167,65.73,94,12,2.91,few clouds
598,Vila,PT,42.0304,-8.1588,46.74,95,100,2.84,overcast clouds
599,Tucuma,BR,-0.1833,-50.05,74.73,92,100,2.84,overcast clouds
600,Biak,ID,-0.9131,122.8766,80.35,67,77,0.31,broken clouds
601,Sao Paulo Do Potengi,BR,-5.895,-35.7628,80.28,76,99,10.27,overcast clouds
602,Mandalgovi,MN,45.7625,106.2708,6.55,71,3,4.12,clear sky
603,Nhamunda,BR,-2.1861,-56.7131,73.54,93,100,4.29,overcast clouds
604,Zheleznodorozhnyy,RU,55.7503,38.0042,21.22,97,100,4.23,snow
605,Omsukchan,RU,62.5333,155.8,-14.48,96,57,3.67,broken clouds
606,Beibei,CN,29.8256,106.4339,52.23,74,100,2.62,overcast clouds
607,Urusha,RU,54.05,122.9,-22.83,96,40,3.06,scattered clouds
608,Uarini,BR,-2.99,-65.1083,74.44,94,100,1.77,overcast clouds
609,Bayan,CN,46.0833,127.4,0.54,97,100,2.24,overcast clouds
610,Rabo De Peixe,PT,37.8,-25.5833,59.27,98,75,14.97,broken clouds
611,Srandakan,ID,-7.9386,110.2506,79.09,82,99,5.44,moderate rain
612,Voyinka,UA,45.8699,33.9914,44.28,90,96,3.36,overcast clouds
613,Tura,IN,25.5198,90.2201,58.12,68,10,2.68,clear sky
614,Holme,DK,56.1138,10.1725,36.97,94,100,12.37,light snow
615,Belonia,IN,23.2528,91.4514,59.4,73,0,3.24,clear sky
616,Yuci,CN,37.6803,112.7319,29.95,51,100,6.71,haze
617,San Pedro,PH,14.35,121.0167,79.11,82,20,2.3,few clouds
618,Sarangani,PH,5.4033,125.4636,81.59,78,95,14.74,overcast clouds
619,Burnie,AU,-41.0667,145.9167,66.49,79,89,2.93,overcast clouds
620,Ninohe,JP,40.2724,141.3061,30.54,75,27,5.26,scattered clouds
621,Challakere,IN,14.3167,76.65,70.41,59,89,6.98,overcast clouds
622,Berlevag,NO,70.8578,29.0864,29.82,85,100,23.51,light snow
623,Paamiut,GL,61.994,-49.6678,13.55,82,100,25.43,overcast clouds
624,Vila Velha,BR,-20.3297,-40.2925,73.94,96,75,2.3,broken clouds
625,Dasoguz,TM,41.8363,59.9666,31.95,93,100,13.8,overcast clouds
626,Chitungwiza,ZW,-18.0127,31.0756,62.58,94,100,4.54,light rain
627,Mopti,ML,14.6667,-4.0,66.24,42,0,4.61,clear sky
628,Novopokrovka,UA,49.8425,36.5477,32.38,95,100,7.96,light snow
629,Isiro,CD,2.7739,27.616,69.3,68,100,1.79,overcast clouds
630,Azuaga,ES,38.2667,-5.6833,46.96,94,4,6.24,clear sky
631,Pokoynoye,RU,44.8097,44.2517,39.07,84,100,9.42,overcast clouds
632,Takoradi,GH,4.8845,-1.7554,81.09,81,66,6.46,broken clouds
633,Amparafaravola,MG,-17.5833,48.2167,67.17,94,100,2.44,light rain
634,Filingue,NE,14.3521,3.3168,67.73,20,4,10.22,clear sky
635,Santa Rosa,PH,14.3122,121.1114,79.86,78,10,3.22,clear sky
636,Nolinsk,RU,57.5596,49.9363,14.49,91,100,10.92,snow
637,Copiapo,CL,-27.3667,-70.3333,70.79,54,89,4.76,overcast clouds
638,Khorol,UA,49.7837,33.2783,33.01,97,100,5.19,overcast clouds
639,Ciawi,ID,-7.5117,107.9767,70.09,82,49,1.77,scattered clouds
640,Sungaipenuh,ID,-2.0833,101.3833,64.9,97,95,1.74,overcast clouds
641,Adrar,MR,20.5022,-10.0711,59.05,12,100,8.55,overcast clouds
642,Mocuba,MZ,-16.8392,36.9856,71.73,98,81,2.26,broken clouds
643,Basco,PH,20.4487,121.9702,74.77,70,78,15.26,broken clouds
644,Nouakchott,MR,18.0858,-15.9785,69.73,27,100,10.87,overcast clouds
645,Lumut,MY,4.2323,100.6298,77.36,83,20,1.14,few clouds
646,Terrace,CA,54.5163,-128.6035,26.51,93,100,4.61,freezing rain
647,Alpena,US,45.0617,-83.4327,14.32,89,100,3.0,fog
648,Winnemucca,US,40.973,-117.7357,44.65,45,0,4.61,clear sky
649,Phuket,TH,8.0,98.25,75.42,88,20,5.75,few clouds
650,Okaihau,NZ,-35.3167,173.7833,77.52,71,99,1.83,overcast clouds
651,Tahe,CN,52.3333,124.7333,-20.18,96,48,3.51,scattered clouds
652,Caxito,AO,-8.5785,13.6643,77.65,94,100,1.63,overcast clouds
653,Saint-Pierre,RE,-21.3393,55.4781,76.68,80,0,4.61,light rain
654,Pavilosta,LV,56.8879,21.1859,30.15,88,77,3.15,broken clouds
655,Saraland,US,30.8207,-88.0706,71.6,95,84,4.85,broken clouds
656,Hwange,ZW,-18.3693,26.5019,68.4,95,100,2.39,light rain
657,Saquarema,BR,-22.92,-42.5103,69.82,89,100,5.39,light rain
