City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
204,Port Blair,IN,78.06,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
206,Cabo San Lucas,MX,76.6,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
207,Santiago,CL,77.18,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
208,Cidreira,BR,72.43,scattered clouds,-30.1811,-50.2056,Hotel Castelo
211,Aitape,PG,81.81,scattered clouds,-3.1374,142.3475,
215,Hambantota,LK,75.52,overcast clouds,6.1241,81.1185,Bungalow 63
217,Moree,AU,89.62,scattered clouds,-29.4667,149.85,Molika Springs Motel
222,La Libertad,EC,75.0,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
226,Limon,CR,75.09,clear sky,10.0,-83.0333,Hotel Playa Bonita
227,Sassandra,CI,78.8,overcast clouds,4.95,-6.0833,la terrasse
230,Saint-Louis,SN,77.31,overcast clouds,16.3333,-15.0,
231,Puerto Baquerizo Moreno,EC,73.04,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
235,Santa Maria,BR,71.6,clear sky,-29.6842,-53.8069,Hotel Morotin
237,Rafai,CF,74.43,broken clouds,4.95,23.9167,
242,Puerto Escondido,MX,81.43,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
250,Vao,NC,77.36,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
252,Omboue,GA,77.4,overcast clouds,-1.5746,9.2618,Hotel Olako
255,Ouadda,CF,78.37,overcast clouds,8.0777,22.4007,
257,Kyaikkami,MM,71.89,clear sky,16.08,97.5675,St. joseph catholic church
261,Mogadishu,SO,77.59,few clouds,2.0371,45.3438,Hotel Juba
